Name                                 RA           Dec         z    R500   err    T500   err     M500      err      R2500  err    T2500  err     M2500     err         LX       err        c500    err       c     err     P1/P0     err        P2/P0     err        P3/P0     err         w        err        w_azi     err       ellip   posang    K0    err     K100   err   alpha err   t_c_ctr  err   R2500_hy  Mtot@R2500h  err     Mgas@R2500h  err    fgas@R2500h err Mtot@R2500s  err     Mgas@R2500s  err    fgas@R2500s err
                                  (J2000)       (J2000)               (Mpc)         (keV)           (M_Sun)           (Mpc)         (keV)           (M_Sun)            (erg s-1)         (0.1-0.5R500)    (100-500kpc)                                                                                                                    (rad)     (keV cm2)     (keV cm2)                    (Gyr)        (Mpc)         (M_Sun)              (M_Sun)                             (M_Sun)              (M_Sun)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
400d_J0230+1836                   2:30:29.00   18:36:09.4  0.7990  0.697 0.164   4.524 1.291  2.284e+14 1.637e+14  0.340 0.064   5.424 1.199  1.331e+14 7.610e+13  5.230e+44 6.783e+43      -      -        -      -    3.440e+00 2.385e+00  2.076e-01 2.335e-01  3.517e-03 2.172e-02  5.169e-03 1.360e-04  4.291e-02 1.129e-03  0.4165  -2.7684     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0237-5224                   2:38:00.81  -52:25:11.1  0.1360  0.797 0.082   2.966 0.511  1.669e+14 5.161e+13  0.355 0.030   3.066 0.421  7.407e+13 1.856e+13  4.545e+43 3.709e+42      -      -        -      -    4.252e+00 4.235e+00  1.650e-01 3.052e-01  1.299e-02 6.749e-02  2.213e-03 5.824e-05  5.387e-02 1.418e-03  0.9990   5.2587     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0245+0936                   2:45:48.92    9:36:38.3  0.1470  0.864 0.150   3.484 1.043  2.152e+14 1.130e+14  0.323 0.041   2.601 0.545  5.632e+13 2.147e+13  2.640e+43 6.213e+42      -      -        -      -    9.936e-01 2.250e+00  5.054e-02 2.245e-01  2.245e-02 8.007e-02  2.536e-03 6.674e-05  6.928e-02 1.823e-03  0.1156   6.2832     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0302-0423                   3:02:21.12   -4:23:23.9  0.3500  0.912 0.088   4.688 0.689  3.099e+14 8.964e+13  0.410 0.044   4.819 0.776  1.411e+14 4.557e+13  1.258e+45 6.683e+43   15.559  1.005   20.870  1.252      -         -          -         -          -         -          -         -          -         -      0.1590   2.9969     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0318-0302                   3:18:34.49   -3:03:03.1  0.3700  0.949 0.150   5.154 1.258  3.570e+14 1.709e+14  0.447 0.069   5.758 1.325  1.867e+14 8.703e+13  3.791e+44 2.647e+43      -      -     36.283  4.736  1.192e+01 6.721e+00  2.622e-01 3.226e-01  2.023e-03 3.402e-02  5.546e-03 1.459e-04  2.568e-02 6.757e-04  0.1797   0.0428     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0328-2140                   3:28:35.84  -21:40:24.8  0.5900  0.864 0.113   5.412 0.957  3.425e+14 1.349e+14  0.404 0.052   5.959 1.003  1.750e+14 6.761e+13  5.290e+44 4.163e+43      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.1629   6.2832     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0340-2840                   3:40:25.21  -28:40:38.6  0.0680  1.050 0.131   4.708 1.051  3.587e+14 1.352e+14  0.431 0.062   4.109 1.031  1.241e+14 5.430e+13  1.676e+43 2.011e+42    0.179  0.014      -      -    2.661e-01 1.880e+00  8.652e-02 3.421e-01  1.875e-02 8.478e-02  1.680e-03 4.420e-05  6.700e-02 1.763e-03  0.0912  -0.1550     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0355-3741                   3:55:59.20  -37:41:43.8  0.4730  0.907 0.142   5.254 1.195  3.479e+14 1.644e+14  0.412 0.066   5.481 1.235  1.628e+14 7.860e+13  3.569e+44 2.471e+43      -      -        -      -    2.263e-01 7.697e-01  3.846e-02 1.212e-01  2.396e-02 4.905e-02  2.749e-03 7.234e-05  7.069e-02 1.860e-03  0.1754  -1.8303     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0405-4100                   4:05:24.42  -41:00:19.4  0.6860  0.795 0.109   5.140 0.899  2.979e+14 1.227e+14  0.362 0.057   5.407 1.057  1.412e+14 6.682e+13  5.310e+44 3.565e+43      -      -        -      -    9.449e-02 3.207e-01  4.814e-03 4.364e-02  3.546e-03 1.564e-02  2.365e-03 6.224e-05  7.692e-02 2.024e-03  0.2103   0.3452     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
400d_J0720+7108                   7:20:53.95   71:08:58.8  0.2309  0.693 0.066   2.487 0.364  1.205e+14 3.454e+13  0.320 0.024   2.752 0.324  5.916e+13 1.352e+13  3.524e+43 3.252e+42      -      -        -      -    3.462e-02 1.757e-01  9.332e-04 2.114e-02  1.290e-03 8.425e-03  1.729e-03 4.551e-05  6.488e-02 1.707e-03  0.1365  -1.1466     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
