Name                                 RA           Dec         z    R500   err    T500   err     M500      err      R2500  err    T2500  err     M2500     err         LX       err        c500    err       c     err     P1/P0     err        P2/P0     err        P3/P0     err         w        err        w_azi     err       ellip   posang    K0    err     K100   err   alpha err   t_c_ctr  err   R2500_hy  Mtot@R2500h  err     Mgas@R2500h  err    fgas@R2500h err Mtot@R2500s  err     Mgas@R2500s  err    fgas@R2500s err
                                  (J2000)       (J2000)               (Mpc)         (keV)           (M_Sun)           (Mpc)         (keV)           (M_Sun)            (erg s-1)         (0.1-0.5R500)    (100-500kpc)                                                                                                                    (rad)     (keV cm2)     (keV cm2)                    (Gyr)        (Mpc)         (M_Sun)              (M_Sun)                             (M_Sun)              (M_Sun)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ABELL_1682                       13:06:49.93   46:33:33.1  0.2339  1.224 0.072   7.284 0.640  6.643e+14 1.178e+14  0.550 0.032   7.377 0.648  3.009e+14 5.198e+13  5.088e+44 9.204e+42    3.257  0.623    6.078  0.842  2.479e+00 1.628e+00  1.373e-01 1.533e-01  7.150e-03 1.900e-02  2.098e-03 5.520e-05  7.390e-02 1.945e-03  0.2678   0.8934     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_1689                       13:11:29.61   -1:20:28.7  0.1832  1.502 0.062  10.239 0.290  1.169e+15 1.440e+14  0.676 0.018  10.254 0.266  5.325e+14 4.321e+13  2.106e+45 1.297e+43    3.425  0.058    9.985  0.080  1.477e-01 5.908e-02  1.125e-01 1.685e-02  4.819e-04 5.826e-04  1.142e-03 3.006e-05  7.343e-02 1.932e-03  0.1181   1.7900   65.50   2.12  133.37   3.34  1.14 0.03   2.117  0.343    0.669   5.171e+14 2.477e+13  5.492e+13 2.758e+11  0.1062 0.0051   5.215e+14 2.475e+13  5.545e+13 3.086e+11  0.1063 0.0051
ABELL_1722                       13:20:08.42   70:04:37.5  0.3275  1.429 0.366  10.685 4.300  1.164e+15 9.136e+14  0.631 0.132  10.345 3.297  5.020e+14 3.191e+14  6.868e+44 2.963e+43      -      -     13.314  1.071  2.288e+00 1.706e+00  2.519e-01 2.237e-01  2.359e-03 2.588e-02  3.404e-03 8.957e-05  7.772e-02 2.045e-03  0.2599   1.8022     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_1736                       13:26:49.45  -27:09:48.1  0.0458  0.886 0.026   3.353 0.086  2.114e+14 1.834e+13  0.387 0.009   3.324 0.089  8.833e+13 5.994e+12  3.911e+43 7.509e+41    1.498  0.448    5.800  0.242  7.191e+01 1.048e+01  7.070e-01 4.131e-01  4.397e-01 1.917e-01  1.807e-03 4.754e-05  4.595e-02 1.209e-03  0.1308   3.7926  166.11  12.47  134.59  48.26  8.00 4.29  24.390 55.445    0.425   1.168e+14 1.017e+13      -         -         -      -     1.062e+14 1.006e+13  7.191e+12 2.779e+11  0.0677 0.0069
ABELL_1750C                      13:30:50.56   -1:51:42.5  0.0678  1.014 0.038   4.402 0.253  3.232e+14 3.642e+13  0.450 0.016   4.454 0.247  1.416e+14 1.495e+13  6.956e+43 1.825e+42    3.171  0.304      -      -    1.364e+00 1.578e+00  2.889e-01 2.645e-01  6.977e-02 7.591e-02  1.676e-03 4.409e-05  6.450e-02 1.697e-03  0.0571  -6.2832  157.41  10.74   91.84  12.72  1.18 0.11  10.140  3.188    0.343   6.262e+13 3.595e+12  4.637e+12 9.612e+10  0.0741 0.0045   8.127e+13 4.839e+12      -         -         -      -  
ABELL_1750N                      13:31:10.95   -1:43:41.5  0.0837  0.939 0.043   3.874 0.274  2.606e+14 3.545e+13  0.397 0.016   3.588 0.230  9.860e+13 1.198e+13  7.505e+43 2.693e+42    5.351  0.671      -      -    3.171e+00 2.399e+00  8.836e-01 5.169e-01  2.215e-02 4.705e-02  1.869e-03 4.919e-05  4.088e-02 1.076e-03  0.3849  -1.0831   23.70  24.70  186.42  32.00  0.69 0.11   6.212  1.956    0.258   2.708e+13 1.008e+13  2.432e+12 7.871e+10  0.0898 0.0336   8.536e+13 1.174e+13  6.111e+12 1.649e+11  0.0716 0.0100
ABELL_1758                       13:32:48.40   50:32:32.5  0.2790  1.351 0.053   9.151 0.269  9.347e+14 1.109e+14  0.607 0.017   9.186 0.264  4.236e+14 3.572e+13  9.386e+44 8.708e+42    1.891  0.166    3.802  0.111      -         -          -         -          -         -          -         -          -         -      0.2866  -2.3340     -      -       -      -     -    -       -      -      0.428   1.484e+14 2.526e+13  1.567e+13 1.819e+11  0.1056 0.0180   2.146e+14 3.435e+13  3.723e+13 3.149e+11  0.1735 0.0278
ABELL_1763                       13:35:17.96   40:59:55.8  0.2230  1.233 0.068   7.317 0.592  6.727e+14 1.115e+14  0.555 0.030   7.426 0.602  3.062e+14 4.891e+13  7.062e+44 1.395e+43    2.490  0.188    4.497  0.224  1.526e+00 9.840e-01  7.539e-01 2.360e-01  8.487e-03 1.647e-02  2.801e-03 7.370e-05  7.824e-02 2.059e-03  0.3397  -0.3955  190.60  16.57   32.95  10.22  1.93 0.20  12.570  4.881    0.495   2.169e+14 6.949e+12  2.654e+13 5.017e+11  0.1223 0.0045   2.489e+14 8.398e+12  3.176e+13 5.964e+11  0.1276 0.0049
ABELL_1767                       13:36:08.23   59:12:19.6  0.0703  1.113 0.042   5.267 0.305  4.288e+14 4.833e+13  0.495 0.017   5.295 0.291  1.887e+14 1.968e+13  1.436e+44 3.697e+42    2.417  0.492   45.524  3.010      -         -          -         -          -         -          -         -          -         -      0.1701   4.5744  286.33  14.11   21.24   8.19  2.06 0.27  14.500  9.639    0.469   1.600e+14 1.751e+13      -         -         -      -     1.714e+14 2.000e+13      -         -         -      -  
ABELL_1775                       13:41:48.42   26:22:15.2  0.0717  0.917 0.022   3.663 0.039  2.401e+14 1.737e+13  0.408 0.007   3.731 0.049  1.057e+14 5.569e+12  1.332e+44 1.679e+42    1.130  0.165    7.388  0.098  3.959e+01 2.040e+00  7.454e-01 1.042e-01  1.615e-02 8.951e-03  2.835e-03 7.460e-05  6.564e-02 1.727e-03  0.1524   3.2320    8.06  22.65  148.61  28.01  0.57 0.11   2.286  1.140    0.307   4.489e+13 4.451e+12  6.038e+12 3.705e+10  0.1345 0.0134   5.442e+13 6.033e+12      -         -         -      -  
ABELL_1795                       13:48:52.80   26:35:23.5  0.0625  1.198 0.026   6.014 0.080  5.306e+14 3.513e+13  0.538 0.010   6.113 0.100  2.401e+14 1.283e+13  6.414e+44 2.458e+42    2.039  0.037    7.923  0.037  2.174e+00 1.882e-01  8.810e-01 4.348e-02  4.463e-02 5.831e-03  1.651e-03 4.345e-05  5.846e-02 1.538e-03  0.2421   1.7881     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_1831                       13:59:15.75   27:58:31.2  0.0615  0.927 0.037   3.702 0.223  2.457e+14 2.976e+13  0.399 0.012   3.556 0.159  9.803e+13 8.912e+12  8.440e+43 2.542e+42    3.082  0.440      -      -    1.352e+00 1.789e+00  5.817e-01 4.897e-01  2.715e-02 5.882e-02  1.186e-03 3.121e-05  5.356e-02 1.410e-03  0.2498   4.1012   81.14   8.95  104.47  11.80  1.20 0.09   5.704  3.955    0.638   4.004e+14 4.246e+13      -         -         -      -     1.592e+14 1.186e+13  6.789e+12 1.334e+11  0.0427 0.0033
ABELL_1835                       14:01:01.95    2:52:43.2  0.2532  1.462 0.084  10.371 0.719  1.154e+15 1.992e+14  0.646 0.029  10.065 0.627  4.988e+14 6.747e+13  3.195e+45 2.690e+43   10.884  0.150   13.049  0.161  1.157e+00 2.232e-01  5.327e-02 1.785e-02  1.660e-03 1.421e-03  2.348e-03 6.178e-05  7.947e-02 2.091e-03  0.1247   4.3853   15.09   3.15  109.30   7.01  1.29 0.09   0.598  0.111    0.580   3.605e+14 2.384e+13  5.280e+13 4.504e+11  0.1465 0.0098   4.036e+14 2.144e+13  6.070e+13 6.139e+11  0.1504 0.0081
ABELL_1836                       14:01:41.85  -11:36:25.4  0.0363  0.585 0.069   1.525 0.297  6.058e+13 2.166e+13  0.282 0.041   1.857 0.467  3.392e+13 1.481e+13  9.798e+41 6.912e+40      -      -        -      -    1.123e-01 3.519e-01  6.022e-02 1.072e-01  3.042e-03 2.307e-02  1.848e-03 4.863e-05  6.073e-02 1.598e-03  0.1189  -6.2832     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_1914                       14:26:03.06   37:49:27.8  0.1712  1.388 0.065   8.709 0.518  9.110e+14 1.281e+14  0.633 0.024   9.015 0.483  4.323e+14 4.927e+13  1.830e+45 1.966e+43    3.110  0.112    6.223  0.148  4.177e+01 3.851e+00  8.641e-01 1.593e-01  1.243e-02 1.034e-02  4.124e-03 1.085e-04  2.755e-02 7.251e-04  0.1812   3.3521   47.92  33.80  192.24  39.82  0.61 0.12   4.912  4.960    0.645   4.582e+14 1.390e+13  5.053e+13 6.568e+11  0.1103 0.0036   4.528e+14 1.375e+13  4.897e+13 6.478e+11  0.1082 0.0036
ABELL_1930                       14:32:37.96   31:38:49.5  0.1313  1.001 0.042   4.542 0.291  3.294e+14 4.129e+13  0.440 0.017   4.503 0.262  1.403e+14 1.580e+13  1.874e+44 4.720e+42    6.974  0.290   38.418  1.028  1.940e-01 2.766e-01  1.370e-01 9.362e-02  1.601e-03 5.585e-03  1.170e-03 3.079e-05  2.962e-02 7.794e-04  0.1435   4.8264    5.33   2.13  170.43   5.17  0.92 0.03   0.622  0.071    0.424   1.249e+14 7.466e+12      -         -         -      -     1.282e+14 7.446e+12      -         -         -      -  
ABELL_1942_AND_CLUMP             14:38:21.88    3:40:13.0  0.2240  1.032 0.051   5.229 0.395  3.941e+14 5.867e+13  0.465 0.021   5.371 0.364  1.800e+14 2.415e+13  2.197e+44 6.697e+42    3.266  0.332   12.064  0.628  1.675e+00 1.327e+00  1.527e-01 1.106e-01  4.518e-02 4.383e-02  2.443e-03 6.430e-05  7.971e-02 2.098e-03  0.1162   1.0008  191.25  35.48   86.80  41.65  1.26 0.52  14.670  4.979    0.445   1.578e+14 1.140e+13  1.132e+13 2.901e+11  0.0717 0.0055   1.879e+14 1.290e+13  1.203e+13 2.776e+11  0.0640 0.0046
ABELL_1991                       14:54:31.62   18:38:41.5  0.0587  0.780 0.027   2.668 0.059  1.460e+14 1.520e+13  0.346 0.008   2.743 0.053  6.364e+13 4.222e+12  7.803e+43 1.226e+42    4.242  0.148   12.263  0.162  2.336e+00 6.953e-01  2.011e-01 4.983e-02  4.817e-03 4.307e-03  2.064e-03 5.432e-05  7.931e-02 2.087e-03  0.1457   4.7100   17.99   1.53  127.62   6.31  1.49 0.10   1.038  0.100    0.305   4.361e+13 2.326e+12      -         -         -      -     4.771e+13 2.996e+12      -         -         -      -  
ABELL_1995                       14:52:57.41   58:02:56.8  0.3186    -     -       -     -        -         -        -     -       -     -        -         -      1.047e+45 1.519e+43      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.2142   2.5634     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2009                       15:00:19.58   21:22:11.6  0.1532  1.223 0.057   6.761 0.473  6.137e+14 8.632e+13  0.543 0.023   6.705 0.437  2.677e+14 3.394e+13  9.092e+44 1.397e+43    7.034  0.221   11.667  0.270  3.894e-01 3.632e-01  2.429e-01 8.846e-02  8.088e-03 8.105e-03  1.195e-03 3.145e-05  6.621e-02 1.742e-03  0.2202   4.5123   15.01   1.55  155.16   3.37  1.04 0.02   0.743  0.106    0.583   3.321e+14 1.612e+13  2.852e+13 4.854e+11  0.0859 0.0044   3.091e+14 1.562e+13  2.590e+13 4.304e+11  0.0838 0.0045
ABELL_2029                       15:10:56.14    5:44:40.5  0.0773    -     -       -     -        -         -        -     -       -     -        -         -      1.158e+45 3.443e+42      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.1825  -1.1803   32.22   3.33  132.28   4.74  1.10 0.04   1.526  0.132      -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2034                       15:10:12.50   33:30:39.6  0.1130  1.316 0.036   7.493 0.113  7.364e+14 6.097e+13  0.595 0.012   7.653 0.132  3.393e+14 2.050e+13  4.037e+44 4.059e+42    1.195  0.085    5.855  0.069  7.789e+00 7.745e-01  1.427e-01 2.914e-02  1.111e-02 5.093e-03  1.934e-03 5.091e-05  7.110e-02 1.871e-03  0.1440   5.1452     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2052                       15:16:44.52    7:01:17.0  0.0355    -     -       -     -        -         -        -     -       -     -        -         -      9.211e+43 1.852e+41      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.1668   2.3437    0.00   3.24  148.14   3.72  0.99 0.07   0.501  0.095      -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2061                       15:21:10.30   30:36:41.3  0.0784  1.032 0.026   4.590 0.132  3.439e+14 2.625e+13  0.457 0.010   4.621 0.135  1.496e+14 1.005e+13  1.469e+44 2.131e+42    2.340  0.499   23.705  0.913      -         -          -         -          -         -          -         -          -         -      0.2503   2.4310  177.83  26.22   77.97  22.25  1.07 0.16  22.960 17.160    0.271   3.103e+13 1.929e+12  3.164e+12 1.210e+11  0.1020 0.0074   7.775e+13 3.788e+12  1.061e+13 4.056e+11  0.1364 0.0085
ABELL_2063                       15:23:04.85    8:36:20.2  0.0349  1.158 0.024   5.518 0.067  4.677e+14 2.894e+13  0.502 0.008   5.294 0.067  1.909e+14 9.238e+12  6.442e+43 5.227e+41    1.587  0.085    3.782  0.060  2.167e+00 5.362e-01  1.932e-01 5.687e-02  3.314e-02 1.152e-02  1.454e-03 3.827e-05  7.852e-02 2.066e-03  0.1582   2.1046    4.35   3.21  218.55   5.77  0.70 0.05   0.000  0.000    0.230   1.835e+13 2.822e+12      -         -         -      -     3.561e+13 1.031e+13      -         -         -      -  
ABELL_2065                       15:22:29.52   27:42:22.9  0.0726  1.233 0.033   6.411 0.170  5.840e+14 4.642e+13  0.545 0.012   6.317 0.162  2.515e+14 1.610e+13  3.464e+44 2.822e+42      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.2961   4.2319     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2069                       15:24:11.38   29:52:19.0  0.1160  1.178 0.043   6.099 0.320  5.295e+14 5.826e+13  0.525 0.018   6.106 0.309  2.341e+14 2.347e+13  2.149e+44 3.407e+42    1.617  0.158    4.300  0.154  6.801e+01 7.163e+00  5.652e+00 7.646e-01  4.330e-01 1.239e-01  3.512e-03 9.242e-05  6.749e-02 1.776e-03  0.4658   1.0745  345.56  20.71   15.55  10.12  2.28 0.48  27.000 22.630    0.451   1.485e+14 1.408e+13  1.168e+13 2.316e+11  0.0787 0.0076   1.880e+14 1.604e+13  1.638e+13 3.003e+11  0.0871 0.0076
ABELL_2092                       15:33:13.63   31:09:00.7  0.0669  0.705 0.047   2.221 0.218  1.085e+14 2.179e+13  0.337 0.021   2.633 0.267  5.920e+13 1.096e+13  1.479e+43 1.450e+42    6.704  1.921      -      -    9.616e+00 8.284e+00  1.202e-02 1.735e-01  1.419e-01 1.728e-01  2.972e-03 7.820e-05  7.503e-02 1.974e-03  0.0937  -4.7107     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2104                       15:40:08.13   -3:18:15.0  0.1533  1.268 0.042   7.235 0.270  6.829e+14 6.865e+13  0.565 0.015   7.224 0.249  3.026e+14 2.432e+13  6.510e+44 6.018e+42    1.674  0.098    5.660  0.113  9.320e-02 1.280e-01  6.975e-02 3.320e-02  5.854e-02 1.711e-02  1.729e-03 4.551e-05  8.659e-02 2.279e-03  0.0826   2.2801  206.31  11.89  116.53  20.01  3.91 1.18   9.062  7.433    0.533   2.535e+14 1.933e+13  2.817e+13 1.284e+12  0.1111 0.0099   2.597e+14 1.815e+13      -         -         -      -  
ABELL_2107                       15:39:39.11   21:46:57.6  0.0411  0.963 0.026   3.912 0.115  2.709e+14 2.192e+13  0.434 0.009   4.070 0.114  1.237e+14 8.096e+12  6.993e+43 1.077e+42    3.735  0.172   44.463  0.792  8.339e-01 6.719e-01  2.281e-01 1.347e-01  3.001e-02 2.569e-02  9.156e-04 2.409e-05  6.675e-02 1.757e-03  0.0675  -2.9573    0.00  56.45  261.79  44.90  0.58 0.44   2.070  0.335    0.441   1.300e+14 8.931e+12      -         -         -      -     1.288e+14 8.757e+12      -         -         -      -  
ABELL_2111                       15:39:40.64   34:25:28.0  0.2290  1.287 0.076   7.980 0.684  7.697e+14 1.367e+14  0.567 0.030   7.760 0.621  3.286e+14 5.221e+13  5.757e+44 9.582e+42    3.538  0.266    6.606  0.373  3.764e+00 1.531e+00  7.911e-01 2.467e-01  6.766e-03 1.378e-02  2.506e-03 6.595e-05  4.168e-02 1.097e-03  0.3695  -5.2383  224.20  22.29   62.67  22.00  1.54 0.27  15.640  5.762    0.468   1.848e+14 1.474e+13  1.843e+13 3.505e+11  0.0997 0.0082   2.051e+14 1.902e+13  2.584e+13 7.016e+11  0.1260 0.0122
ABELL_2124                       15:44:59.13   36:06:34.1  0.0656  1.095 0.058   5.079 0.452  4.060e+14 6.439e+13  0.485 0.023   5.096 0.400  1.770e+14 2.516e+13  6.089e+43 1.526e+42    5.288  0.239    7.792  0.297  6.439e+00 2.288e+00  1.238e+00 3.646e-01  3.059e-02 3.468e-02  1.928e-03 5.075e-05  6.988e-02 1.839e-03  0.2348  -2.0930  119.70  17.69  185.14  24.75  1.39 0.42   6.526  1.550    0.393   9.383e+13 8.189e+12      -         -         -      -     1.169e+14 1.079e+13      -         -         -      -  
ABELL_2125                       15:41:14.16   66:15:57.2  0.2465  0.777 0.039   3.124 0.206  1.720e+14 2.571e+13  0.343 0.016   3.160 0.208  7.395e+13 1.004e+13  1.062e+44 5.415e+42    2.446  0.663      -      -    1.561e+00 1.240e+00  2.522e-01 2.121e-01  3.101e-02 3.968e-02  2.552e-03 6.717e-05  4.625e-02 1.217e-03  0.3041   3.5744  144.91  28.21   67.90  32.45  0.94 0.45  17.050  7.064    0.268   3.521e+13 3.516e+12  2.928e+12 8.567e+10  0.0832 0.0087   4.836e+13 4.164e+12  5.192e+12 1.298e+11  0.1074 0.0096
ABELL_2142                       15:58:20.88   27:13:44.2  0.0909  1.398 0.042   8.238 0.142  8.648e+14 7.873e+13  0.626 0.013   8.239 0.129  3.877e+14 2.358e+13  1.233e+45 6.507e+42    1.629  0.055    6.886  0.056  5.332e+00 4.620e-01  2.344e+00 9.921e-02  3.820e-03 2.676e-03  1.987e-03 5.228e-05  4.230e-02 1.113e-03  0.9922   5.4829     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2146                       15:56:11.97   66:21:03.9  0.2343  1.311 0.048   8.295 0.264  8.167e+14 8.920e+13  0.585 0.016   8.256 0.243  3.634e+14 2.905e+13  1.081e+45 7.592e+42    1.888  0.064    8.907  0.109  4.580e+01 1.523e+00  1.128e+00 8.545e-02  8.445e-02 1.390e-02  5.068e-03 1.334e-04  3.964e-02 1.043e-03  0.2467   0.8217     -      -       -      -     -    -       -      -      0.442   1.566e+14 4.294e+12  2.396e+13 1.295e+11  0.1530 0.0043   2.166e+14 6.789e+12  3.477e+13 2.353e+11  0.1605 0.0051
ABELL_2147                       16:02:17.03   15:58:28.3  0.0350  1.008 0.024   4.252 0.090  3.089e+14 2.161e+13  0.449 0.009   4.313 0.097  1.365e+14 7.957e+12  5.836e+43 6.466e+41    1.322  0.229    4.323  0.155  4.417e+01 7.848e+00  2.277e+00 6.780e-01  5.853e-02 5.778e-02  1.956e-03 5.148e-05  7.216e-02 1.899e-03  0.8347  -6.2239  185.12  15.71   61.32  19.42  1.74 0.45  13.990  7.623    0.451   1.386e+14 5.117e+13      -         -         -      -     1.391e+14 4.940e+13      -         -         -      -  
ABELL_2151                       16:04:35.89   17:43:17.4  0.0366  0.806 0.028   2.798 0.081  1.582e+14 1.641e+13  0.358 0.009   2.860 0.076  6.936e+13 4.940e+12  3.685e+43 1.431e+42    4.052  0.327   22.443  0.646  1.519e+00 1.495e+00  7.207e-02 1.222e-01  1.159e-01 7.550e-02  1.002e-03 2.636e-05  4.586e-02 1.207e-03  0.0516  -4.3911    4.99  12.74  119.41   8.13  0.57 0.17   1.563  0.322    0.332   5.512e+13 5.054e+12      -         -         -      -     5.794e+13 5.134e+12      -         -         -      -  
ABELL_2163                       16:15:45.71   -6:09:00.6  0.2030  1.751 0.099  13.921 0.629  1.888e+15 3.212e+14  0.795 0.030  14.021 0.584  8.829e+14 9.957e+13  2.085e+45 1.134e+43    1.846  0.046    2.751  0.046  2.422e+01 1.478e+00  4.762e-01 6.277e-02  8.345e-02 1.696e-02  3.514e-03 9.246e-05  6.630e-02 1.745e-03  0.1674  -3.2463  238.78  19.30   40.37  12.62  1.73 0.19  10.320 11.004    0.728   6.794e+14 9.483e+13  9.617e+13 6.201e+11  0.1415 0.0198   7.496e+14 1.029e+14  1.104e+14 7.411e+11  0.1473 0.0202
ABELL_2187                       16:24:14.02   41:14:37.5  0.1836  1.242 0.096   7.143 0.890  6.612e+14 1.532e+14  0.554 0.040   7.153 0.834  2.937e+14 6.415e+13  3.937e+44 1.251e+43   10.266  0.592   13.317  0.719  1.507e+01 4.331e+00  8.525e-01 3.563e-01  1.680e-03 1.388e-02  3.339e-03 8.786e-05  8.761e-02 2.306e-03  0.9990  -0.7047  106.74   6.97  104.73   8.33  1.23 0.06   7.498  2.349    0.457   1.644e+14 8.384e+12  1.552e+13 3.301e+11  0.0944 0.0052   2.015e+14 1.146e+13  2.247e+13 3.641e+11  0.1115 0.0066
ABELL_2199                       16:28:38.25   39:33:04.3  0.0301    -     -       -     -        -         -        -     -       -     -        -         -      1.663e+44 3.820e+41      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.1702  -0.9175     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2204                       16:32:46.92    5:34:32.8  0.1522  1.469 0.060   9.533 0.362  1.061e+15 1.301e+14  0.654 0.019   9.406 0.309  4.690e+14 3.980e+13  1.829e+45 9.109e+42    9.453  0.084   12.344  0.083  3.311e-01 8.590e-02  7.846e-02 1.688e-02  3.233e-04 5.449e-04  7.782e-04 2.048e-05  6.415e-02 1.688e-03  0.1149   3.0472   33.83   5.77  119.36   9.55  1.54 0.16   1.449  0.104    0.625   4.089e+14 1.446e+13  4.742e+13 3.794e+11  0.1160 0.0042   4.154e+14 1.556e+13  5.065e+13 4.102e+11  0.1219 0.0047
ABELL_2218                       16:35:50.83   66:12:42.3  0.1756  1.171 0.041   6.350 0.290  5.502e+14 5.791e+13  0.520 0.016   6.313 0.268  2.400e+14 2.179e+13  6.606e+44 9.781e+42    1.583  0.131    4.891  0.143  3.406e+00 8.536e-01  2.092e-01 7.734e-02  6.357e-03 7.733e-03  2.626e-03 6.911e-05  6.685e-02 1.759e-03  0.1587  -6.1732  233.30   9.12   12.19   3.57  2.34 0.19  10.690  4.277      -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2219                       16:40:20.11   46:42:42.8  0.2256  1.547 0.068  11.256 0.239  1.331e+15 1.754e+14  0.699 0.019  11.314 0.225  6.140e+14 4.987e+13  2.166e+45 1.124e+43    1.493  0.063    3.904  0.048  6.619e+00 5.385e-01  1.249e+00 7.795e-02  4.361e-02 8.814e-03  2.973e-03 7.825e-05  7.944e-02 2.091e-03  0.2691   0.6278  263.12  13.32   45.23   9.48  1.51 0.13  13.360  6.572    0.602   3.930e+14 2.537e+13  5.666e+13 2.395e+11  0.1442 0.0093   4.613e+14 3.431e+13  7.181e+13 3.342e+11  0.1557 0.0116
ABELL_2244                       17:02:42.58   34:03:37.3  0.0968  1.160 0.027   5.824 0.116  4.965e+14 3.499e+13  0.515 0.009   5.813 0.106  2.168e+14 1.201e+13  5.628e+44 3.305e+42    1.892  0.073    7.028  0.068  9.876e-01 2.182e-01  3.600e-02 1.774e-02  1.661e-02 5.817e-03  1.335e-03 3.513e-05  8.877e-02 2.336e-03  0.0801  -4.5203   64.17   5.07   88.04   6.81  1.24 0.08   2.886  0.729    0.428   1.248e+14 3.907e+12      -         -         -      -     1.521e+14 4.983e+12      -         -         -      -  
ABELL_2249                       17:09:45.13   34:27:18.7  0.0816  1.089 0.047   5.109 0.356  4.055e+14 5.290e+13  0.486 0.020   5.177 0.343  1.804e+14 2.218e+13  1.600e+44 3.912e+42    2.101  0.302      -      -    4.694e+02 5.451e+01  1.953e+01 3.929e+00  7.254e-01 4.574e-01  3.376e-03 8.885e-05  8.045e-02 2.117e-03  0.4198   3.0559     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2255                       17:12:42.94   64:04:10.8  0.0806  1.181 0.035   5.952 0.225  5.170e+14 4.595e+13  0.530 0.013   6.049 0.208  2.341e+14 1.757e+13  2.321e+44 2.603e+42    1.171  0.121    3.387  0.112      -         -          -         -          -         -          -         -          -         -      0.1789   3.1476     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2256                       17:03:44.57   78:38:11.5  0.0581  1.310 0.035   7.093 0.138  6.923e+14 5.493e+13  0.586 0.012   7.129 0.156  3.093e+14 1.905e+13  2.830e+44 2.521e+42    1.149  0.105    1.885  0.042  1.159e+02 4.700e+00  1.112e+00 1.564e-01  2.338e-01 4.074e-02  2.730e-03 7.184e-05  6.085e-02 1.601e-03  0.4184   3.5507    0.00 132.03  285.92 210.21  0.26 0.20   0.000  0.000      -         -         -          -         -         -      -     1.423e+14 3.146e+13      -         -         -      -  
ABELL_2259                       17:20:08.30   27:40:11.5  0.1640  1.156 0.069   6.124 0.591  5.228e+14 9.404e+13  0.508 0.026   5.999 0.481  2.222e+14 3.375e+13  5.453e+44 1.661e+43    3.648  0.291    7.303  0.400  1.066e+01 3.869e+00  3.914e-01 2.924e-01  3.142e-02 4.008e-02  2.677e-03 7.044e-05  6.847e-02 1.802e-03  0.2268   0.1223  117.39   6.96   47.03   6.59  1.67 0.10   7.573  3.126      -         -         -          -         -         -      -         -         -          -         -         -      -  
ABELL_2261                       17:22:27.25   32:07:58.6  0.2240  1.341 0.077   8.574 0.682  8.651e+14 1.484e+14  0.593 0.029   8.389 0.619  3.740e+14 5.572e+13  1.545e+45 2.288e+43    6.889  0.217    9.451  0.247  4.478e-01 3.599e-01  5.427e-02 3.923e-02  4.885e-03 7.490e-03  1.922e-03 5.058e-05  5.300e-02 1.395e-03  0.1535   2.6997   73.03   4.86   95.33   7.02  1.38 0.08   3.051  0.577    0.528   2.645e+14 1.459e+13  3.315e+13 5.119e+11  0.1253 0.0072   2.879e+14 1.682e+13  3.932e+13 6.916e+11  0.1366 0.0083
ABELL_2294                       17:24:10.15   85:53:09.8  0.1694  1.269 0.086   7.358 0.789  6.961e+14 1.412e+14  0.570 0.037   7.439 0.764  3.155e+14 6.085e+13  8.048e+44 2.308e+43    5.294  0.346    6.624  0.375  5.513e+00 2.934e+00  1.780e-02 5.742e-02  1.908e-03 1.310e-02  2.278e-03 5.996e-05  4.678e-02 1.231e-03  0.0296   3.6605   69.18  63.11  209.40  78.32  0.78 0.27   7.053  2.337    0.509   2.245e+14 1.772e+13  2.421e+13 4.623e+11  0.1078 0.0088   2.552e+14 2.166e+13  2.964e+13 5.545e+11  0.1162 0.0101
