#  Columms are:
#  1) T_{500}  [keV]
#  2) Gaussian error in T_{500}  [keV]
#  3) Bolometric luminosity [ergs/s]
#  4) Gaussian error in Bolometric luminosity [erg/s]

7.143 0.890 3.937e+44 1.251e+43
9.533 0.362 1.829e+45 9.109e+42
6.350 0.290 6.606e+44 9.781e+42
11.256 0.239 2.166e+45 1.124e+43
5.824 0.116 5.628e+44 3.305e+42
5.109 0.356 1.600e+44 3.912e+42
5.952 0.225 2.321e+44 2.603e+42
7.093 0.138 2.830e+44 2.521e+42
6.124 0.591 5.453e+44 1.661e+43
8.574 0.682 1.545e+45 2.288e+43
7.358 0.789 8.048e+44 2.308e+43
4.587 0.340 1.767e+44 6.183e+42
9.711 0.322 7.959e+44 5.397e+42
5.820 0.809 2.640e+44 1.110e+43
7.431 0.861 1.879e+44 4.927e+42
5.809 0.234 2.055e+44 2.910e+42
10.436 0.351 2.480e+45 1.270e+43
5.767 0.394 6.988e+44 1.738e+43
2.637 0.117 7.850e+43 1.545e+42
5.893 0.432 2.807e+44 5.323e+42
5.531 0.340 2.954e+44 6.019e+42
3.971 0.224 3.386e+44 8.396e+42
3.310 0.161 7.768e+43 3.103e+42
2.769 0.235 6.221e+43 3.615e+42
6.674 0.741 4.934e+44 1.749e+43
4.987 0.568 1.532e+44 6.791e+42
6.984 0.411 8.642e+44 1.374e+43
1.730 0.076 4.746e+43 1.837e+42
3.784 0.167 1.788e+44 2.925e+42
4.439 0.070 3.023e+44 3.220e+42
3.246 0.123 9.538e+43 1.600e+42
8.220 3.490 1.178e+44 2.836e+42
8.085 1.060 1.056e+45 3.122e+43
6.468 0.652 5.097e+44 1.625e+43
3.459 0.101 8.280e+43 1.746e+42
4.544 0.315 7.485e+43 2.389e+42
8.389 0.892 1.707e+45 3.149e+43
4.046 0.178 1.342e+44 2.555e+42
2.503 0.129 3.287e+43 9.259e+41
4.662 0.207 1.855e+44 3.518e+42
10.221 0.496 1.606e+45 1.831e+43
7.685 0.786 1.209e+45 2.902e+43
8.769 0.991 6.962e+44 1.654e+43
7.435 1.135 7.207e+44 2.387e+43
2.896 0.410 8.092e+42 5.773e+41
7.722 1.442 6.801e+43 2.803e+42
8.257 0.987 1.031e+45 2.374e+43
2.842 0.169 3.824e+43 1.543e+42
5.738 0.096 3.852e+44 3.997e+42
2.414 0.441 2.045e+43 1.629e+42
4.884 0.331 2.218e+44 5.044e+42
3.350 0.191 3.277e+43 1.344e+42
6.256 1.557 6.017e+43 7.324e+41
4.909 0.078 2.825e+44 2.061e+42
8.457 0.247 3.290e+44 2.296e+42
4.318 0.345 3.080e+44 1.159e+43
7.367 0.817 6.607e+44 1.559e+43
3.414 0.343 5.262e+43 3.507e+42
6.609 0.612 5.593e+44 1.476e+43
7.357 0.623 5.299e+44 1.004e+43
4.961 0.108 6.748e+43 7.270e+41
4.507 0.237 7.243e+44 1.446e+43
5.882 0.281 1.606e+44 2.580e+42
4.673 0.252 8.760e+43 1.915e+42
6.980 0.487 4.621e+44 8.789e+42
2.410 0.353 2.917e+43 4.048e+42
9.274 0.923 1.113e+45 2.065e+43
6.446 0.333 3.934e+44 6.121e+42
7.481 0.430 1.944e+44 1.682e+42
5.955 0.508 9.726e+43 3.060e+42
5.069 0.332 1.214e+44 3.372e+42
7.446 0.219 2.105e+44 2.276e+42
3.829 0.166 3.295e+43 6.789e+41
4.811 0.166 1.135e+44 2.060e+42
8.090 0.120 2.596e+44 1.181e+42
2.027 0.017 1.728e+43 1.498e+41
4.671 0.336 2.625e+43 7.918e+41
6.452 0.044 2.428e+44 7.464e+41
6.510 0.460 2.166e+44 4.035e+42
5.985 0.550 4.424e+44 1.398e+43
2.757 0.126 8.160e+43 1.981e+42
7.461 0.215 6.130e+44 4.066e+42
5.372 0.428 4.180e+44 1.106e+43
2.768 0.149 1.249e+44 3.887e+42
6.544 0.474 2.575e+44 6.336e+42
5.951 0.278 3.064e+44 4.272e+42
6.738 0.767 2.585e+44 6.861e+42
3.191 0.042 8.581e+43 8.881e+41
4.370 0.043 1.328e+44 7.808e+41
7.158 0.698 1.344e+45 3.926e+43
2.746 0.081 8.456e+42 2.730e+41
8.626 0.904 7.285e+44 1.923e+43
4.731 0.361 2.486e+44 8.319e+42
8.492 0.715 1.618e+45 2.643e+43
7.380 0.343 1.310e+45 1.625e+43
6.351 0.533 6.746e+44 1.949e+43
11.329 0.824 4.901e+45 6.333e+43
2.705 0.061 1.822e+44 1.685e+42
6.192 1.972 1.569e+44 1.409e+43
7.952 0.856 1.108e+45 2.735e+43
4.339 0.622 3.027e+44 2.134e+43
6.598 0.706 1.531e+45 4.310e+43
5.356 1.041 7.124e+44 5.621e+43
7.775 1.679 1.240e+45 6.569e+43
7.969 1.061 1.121e+45 3.833e+43
0.774 0.068 7.647e+40 2.929e+40
2.677 0.069 1.895e+43 2.675e+41
4.090 0.269 2.575e+44 8.255e+42
5.205 0.509 2.309e+44 7.467e+42
2.958 0.328 1.043e+44 5.101e+42
8.803 0.412 2.399e+45 3.243e+43
7.542 0.963 1.403e+45 5.701e+43
12.330 0.318 3.163e+45 1.548e+43
1.345 0.011 1.039e+42 3.261e+40
8.519 0.522 5.322e+44 8.136e+42
7.098 0.559 3.834e+44 9.632e+42
6.685 0.546 8.956e+44 1.918e+43
6.982 0.702 1.790e+45 4.918e+43
8.233 0.411 4.154e+44 5.258e+42
5.771 1.264 1.401e+44 1.155e+43
3.215 0.010 1.652e+43 5.194e+40
4.682 0.648 9.549e+44 4.639e+43
9.099 0.369 1.582e+45 1.746e+43
10.124 0.853 2.562e+45 4.923e+43
7.055 0.085 4.802e+44 1.901e+42
2.775 0.090 3.208e+43 8.275e+41
1.187 0.096 6.319e+42 4.551e+41
2.271 0.159 1.172e+43 4.823e+41
7.360 0.956 4.125e+45 6.002e+43
1.422 0.007 4.800e+41 1.049e+40
5.915 0.728 3.452e+44 1.434e+43
5.520 0.849 1.424e+45 9.184e+43
7.414 0.783 1.634e+45 4.132e+43
2.554 0.129 8.184e+42 6.301e+41
8.373 0.617 2.059e+45 2.826e+43
9.387 0.670 1.924e+45 3.732e+43
10.379 1.974 1.256e+45 5.078e+43
7.157 0.385 1.293e+45 1.904e+43
1.177 0.188 8.679e+40 2.645e+40
0.776 0.016 4.647e+41 4.898e+40
1.347 0.024 1.738e+42 9.772e+40
3.000 3.000 1.197e+40 6.040e+39
0.954 0.108 1.332e+42 8.738e+40
3.741 0.129 3.496e+44 3.308e+42
4.138 0.036 3.072e+44 8.995e+41
3.333 0.031 1.704e+43 1.603e+41
4.135 0.238 8.046e+43 2.623e+42
3.607 0.117 1.083e+43 2.321e+41
2.440 1.236 3.365e+42 4.069e+41
2.309 0.090 2.512e+43 7.006e+41
14.992 0.825 5.181e+45 4.530e+43
4.721 1.737 2.510e+44 4.222e+43
7.351 0.909 1.112e+45 4.623e+43
5.850 0.406 1.176e+45 2.364e+43
7.482 0.607 1.341e+45 4.533e+43
3.768 0.862 1.252e+44 7.897e+42
5.351 0.721 1.188e+45 4.573e+43
9.614 1.150 1.863e+45 5.063e+43
9.462 1.087 1.951e+45 3.979e+43
7.241 0.433 1.266e+45 2.232e+43
8.425 0.493 2.485e+45 4.754e+43
6.495 1.121 4.725e+44 2.646e+43
8.688 0.806 1.304e+45 4.128e+43
11.390 0.615 3.447e+45 5.407e+43
